---------------------------------------------------------------
[ 2020-06-02T14:25:02+08:00 ] 35.240.155.226 GET 163.44.167.135:7788/api.php?maccms=vod&num=5&order=desc&by=time
[运行时间：0.042325s] [吞吐率：23.63req/s] [内存消耗：5,126.31kb] [文件加载：72]
[ error ] [8]未定义数组索引: half[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:70]
[ error ] [8]未定义数组索引: timeadd[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:71]
[ error ] [8]未定义数组索引: timehits[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:72]
[ error ] [8]未定义数组索引: time[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:73]
[ error ] [8]未定义数组索引: hitsmonth[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:74]
[ error ] [8]未定义数组索引: hitsweek[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:75]
[ error ] [8]未定义数组索引: hitsday[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:76]
[ error ] [8]未定义数组索引: hits[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:77]
[ error ] [8]未定义数组索引: not[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:78]
[ error ] [8]未定义数组索引: cachetime[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:79]
[ error ] [8]未定义变量: total[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:49]
[ error ] [8]未定义变量: total[/www/wwwroot/tiaoshi.com/application/common/model/Topic.php:49]
[ error ] [8]未定义数组索引: rel[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:112]
[ error ] [8]未定义数组索引: pageurl[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:114]
[ error ] [8]未定义数组索引: area[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:116]
[ error ] [8]未定义数组索引: lang[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:117]
[ error ] [8]未定义数组索引: state[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:118]
[ error ] [8]未定义数组索引: wd[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:119]
[ error ] [8]未定义数组索引: tag[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:120]
[ error ] [8]未定义数组索引: class[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:121]
[ error ] [8]未定义数组索引: letter[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:122]
[ error ] [8]未定义数组索引: actor[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:123]
[ error ] [8]未定义数组索引: director[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:124]
[ error ] [8]未定义数组索引: version[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:125]
[ error ] [8]未定义数组索引: year[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:126]
[ error ] [8]未定义数组索引: start[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:127]
[ error ] [8]未定义数组索引: half[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:129]
[ error ] [8]未定义数组索引: weekday[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:130]
[ error ] [8]未定义数组索引: tv[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:131]
[ error ] [8]未定义数组索引: timeadd[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:132]
[ error ] [8]未定义数组索引: timehits[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:133]
[ error ] [8]未定义数组索引: time[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:134]
[ error ] [8]未定义数组索引: hitsmonth[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:135]
[ error ] [8]未定义数组索引: hitsweek[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:136]
[ error ] [8]未定义数组索引: hitsday[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:137]
[ error ] [8]未定义数组索引: hits[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:138]
[ error ] [8]未定义数组索引: not[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:139]
[ error ] [8]未定义数组索引: cachetime[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:140]
[ error ] [8]未定义数组索引: isend[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:141]
[ error ] [8]未定义数组索引: page[/www/wwwroot/tiaoshi.com/application/common.php:1216]
[ error ] [8]未定义数组索引: ajax[/www/wwwroot/tiaoshi.com/application/common.php:1217]
[ error ] [8]未定义数组索引: tid[/www/wwwroot/tiaoshi.com/application/common.php:1218]
[ error ] [8]未定义数组索引: mid[/www/wwwroot/tiaoshi.com/application/common.php:1219]
[ error ] [8]未定义数组索引: rid[/www/wwwroot/tiaoshi.com/application/common.php:1220]
[ error ] [8]未定义数组索引: pid[/www/wwwroot/tiaoshi.com/application/common.php:1221]
[ error ] [8]未定义数组索引: sid[/www/wwwroot/tiaoshi.com/application/common.php:1222]
[ error ] [8]未定义数组索引: nid[/www/wwwroot/tiaoshi.com/application/common.php:1223]
[ error ] [8]未定义数组索引: uid[/www/wwwroot/tiaoshi.com/application/common.php:1224]
[ error ] [8]未定义数组索引: level[/www/wwwroot/tiaoshi.com/application/common.php:1225]
[ error ] [8]未定义数组索引: score[/www/wwwroot/tiaoshi.com/application/common.php:1226]
[ error ] [8]未定义数组索引: limit[/www/wwwroot/tiaoshi.com/application/common.php:1227]
[ error ] [8]未定义数组索引: id[/www/wwwroot/tiaoshi.com/application/common.php:1229]
[ error ] [8]未定义数组索引: ids[/www/wwwroot/tiaoshi.com/application/common.php:1230]
[ error ] [8]未定义数组索引: wd[/www/wwwroot/tiaoshi.com/application/common.php:1231]
[ error ] [8]未定义数组索引: en[/www/wwwroot/tiaoshi.com/application/common.php:1232]
[ error ] [8]未定义数组索引: state[/www/wwwroot/tiaoshi.com/application/common.php:1233]
[ error ] [8]未定义数组索引: area[/www/wwwroot/tiaoshi.com/application/common.php:1234]
[ error ] [8]未定义数组索引: year[/www/wwwroot/tiaoshi.com/application/common.php:1235]
[ error ] [8]未定义数组索引: lang[/www/wwwroot/tiaoshi.com/application/common.php:1236]
[ error ] [8]未定义数组索引: letter[/www/wwwroot/tiaoshi.com/application/common.php:1237]
[ error ] [8]未定义数组索引: actor[/www/wwwroot/tiaoshi.com/application/common.php:1238]
[ error ] [8]未定义数组索引: director[/www/wwwroot/tiaoshi.com/application/common.php:1239]
[ error ] [8]未定义数组索引: tag[/www/wwwroot/tiaoshi.com/application/common.php:1240]
[ error ] [8]未定义数组索引: class[/www/wwwroot/tiaoshi.com/application/common.php:1241]
[ error ] [8]未定义数组索引: order[/www/wwwroot/tiaoshi.com/application/common.php:1242]
[ error ] [8]未定义数组索引: by[/www/wwwroot/tiaoshi.com/application/common.php:1243]
[ error ] [8]未定义数组索引: file[/www/wwwroot/tiaoshi.com/application/common.php:1244]
[ error ] [8]未定义数组索引: name[/www/wwwroot/tiaoshi.com/application/common.php:1245]
[ error ] [8]未定义数组索引: url[/www/wwwroot/tiaoshi.com/application/common.php:1246]
[ error ] [8]未定义数组索引: type[/www/wwwroot/tiaoshi.com/application/common.php:1247]
[ error ] [8]未定义数组索引: sex[/www/wwwroot/tiaoshi.com/application/common.php:1248]
[ error ] [8]未定义数组索引: version[/www/wwwroot/tiaoshi.com/application/common.php:1249]
[ error ] [8]未定义数组索引: blood[/www/wwwroot/tiaoshi.com/application/common.php:1250]
[ error ] [8]未定义数组索引: starsign[/www/wwwroot/tiaoshi.com/application/common.php:1251]
[ error ] [8]未定义数组索引: aid[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:342]
[ error ] [8]未定义变量: total[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:60]
[ error ] [8]未定义变量: total[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:60]
[ error ] [8]未定义数组索引: rel[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:112]
[ error ] [8]未定义数组索引: pageurl[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:114]
[ error ] [8]未定义数组索引: area[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:116]
[ error ] [8]未定义数组索引: lang[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:117]
[ error ] [8]未定义数组索引: state[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:118]
[ error ] [8]未定义数组索引: wd[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:119]
[ error ] [8]未定义数组索引: tag[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:120]
[ error ] [8]未定义数组索引: class[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:121]
[ error ] [8]未定义数组索引: letter[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:122]
[ error ] [8]未定义数组索引: actor[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:123]
[ error ] [8]未定义数组索引: director[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:124]
[ error ] [8]未定义数组索引: version[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:125]
[ error ] [8]未定义数组索引: year[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:126]
[ error ] [8]未定义数组索引: start[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:127]
[ error ] [8]未定义数组索引: half[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:129]
[ error ] [8]未定义数组索引: weekday[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:130]
[ error ] [8]未定义数组索引: tv[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:131]
[ error ] [8]未定义数组索引: timeadd[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:132]
[ error ] [8]未定义数组索引: timehits[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:133]
[ error ] [8]未定义数组索引: time[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:134]
[ error ] [8]未定义数组索引: hitsmonth[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:135]
[ error ] [8]未定义数组索引: hitsweek[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:136]
[ error ] [8]未定义数组索引: hitsday[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:137]
[ error ] [8]未定义数组索引: hits[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:138]
[ error ] [8]未定义数组索引: not[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:139]
[ error ] [8]未定义数组索引: cachetime[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:140]
[ error ] [8]未定义数组索引: isend[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:141]
[ error ] [8]未定义数组索引: page[/www/wwwroot/tiaoshi.com/application/common.php:1216]
[ error ] [8]未定义数组索引: ajax[/www/wwwroot/tiaoshi.com/application/common.php:1217]
[ error ] [8]未定义数组索引: tid[/www/wwwroot/tiaoshi.com/application/common.php:1218]
[ error ] [8]未定义数组索引: mid[/www/wwwroot/tiaoshi.com/application/common.php:1219]
[ error ] [8]未定义数组索引: rid[/www/wwwroot/tiaoshi.com/application/common.php:1220]
[ error ] [8]未定义数组索引: pid[/www/wwwroot/tiaoshi.com/application/common.php:1221]
[ error ] [8]未定义数组索引: sid[/www/wwwroot/tiaoshi.com/application/common.php:1222]
[ error ] [8]未定义数组索引: nid[/www/wwwroot/tiaoshi.com/application/common.php:1223]
[ error ] [8]未定义数组索引: uid[/www/wwwroot/tiaoshi.com/application/common.php:1224]
[ error ] [8]未定义数组索引: level[/www/wwwroot/tiaoshi.com/application/common.php:1225]
[ error ] [8]未定义数组索引: score[/www/wwwroot/tiaoshi.com/application/common.php:1226]
[ error ] [8]未定义数组索引: limit[/www/wwwroot/tiaoshi.com/application/common.php:1227]
[ error ] [8]未定义数组索引: id[/www/wwwroot/tiaoshi.com/application/common.php:1229]
[ error ] [8]未定义数组索引: ids[/www/wwwroot/tiaoshi.com/application/common.php:1230]
[ error ] [8]未定义数组索引: wd[/www/wwwroot/tiaoshi.com/application/common.php:1231]
[ error ] [8]未定义数组索引: en[/www/wwwroot/tiaoshi.com/application/common.php:1232]
[ error ] [8]未定义数组索引: state[/www/wwwroot/tiaoshi.com/application/common.php:1233]
[ error ] [8]未定义数组索引: area[/www/wwwroot/tiaoshi.com/application/common.php:1234]
[ error ] [8]未定义数组索引: year[/www/wwwroot/tiaoshi.com/application/common.php:1235]
[ error ] [8]未定义数组索引: lang[/www/wwwroot/tiaoshi.com/application/common.php:1236]
[ error ] [8]未定义数组索引: letter[/www/wwwroot/tiaoshi.com/application/common.php:1237]
[ error ] [8]未定义数组索引: actor[/www/wwwroot/tiaoshi.com/application/common.php:1238]
[ error ] [8]未定义数组索引: director[/www/wwwroot/tiaoshi.com/application/common.php:1239]
[ error ] [8]未定义数组索引: tag[/www/wwwroot/tiaoshi.com/application/common.php:1240]
[ error ] [8]未定义数组索引: class[/www/wwwroot/tiaoshi.com/application/common.php:1241]
[ error ] [8]未定义数组索引: order[/www/wwwroot/tiaoshi.com/application/common.php:1242]
[ error ] [8]未定义数组索引: by[/www/wwwroot/tiaoshi.com/application/common.php:1243]
[ error ] [8]未定义数组索引: file[/www/wwwroot/tiaoshi.com/application/common.php:1244]
[ error ] [8]未定义数组索引: name[/www/wwwroot/tiaoshi.com/application/common.php:1245]
[ error ] [8]未定义数组索引: url[/www/wwwroot/tiaoshi.com/application/common.php:1246]
[ error ] [8]未定义数组索引: type[/www/wwwroot/tiaoshi.com/application/common.php:1247]
[ error ] [8]未定义数组索引: sex[/www/wwwroot/tiaoshi.com/application/common.php:1248]
[ error ] [8]未定义数组索引: version[/www/wwwroot/tiaoshi.com/application/common.php:1249]
[ error ] [8]未定义数组索引: blood[/www/wwwroot/tiaoshi.com/application/common.php:1250]
[ error ] [8]未定义数组索引: starsign[/www/wwwroot/tiaoshi.com/application/common.php:1251]
[ error ] [8]未定义数组索引: aid[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:342]
[ error ] [8]未定义变量: total[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:60]
[ error ] [8]未定义变量: total[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:60]
[ error ] [8]未定义数组索引: sid[/www/wwwroot/tiaoshi.com/application/common.php:1782]
[ error ] [8]未定义数组索引: nid[/www/wwwroot/tiaoshi.com/application/common.php:1785]
[ error ] [8]未定义数组索引: sid[/www/wwwroot/tiaoshi.com/application/common.php:1782]
[ error ] [8]未定义数组索引: nid[/www/wwwroot/tiaoshi.com/application/common.php:1785]
[ error ] [8]未定义数组索引: sid[/www/wwwroot/tiaoshi.com/application/common.php:1782]
[ error ] [8]未定义数组索引: nid[/www/wwwroot/tiaoshi.com/application/common.php:1785]
[ error ] [8]未定义数组索引: sid[/www/wwwroot/tiaoshi.com/application/common.php:1782]
[ error ] [8]未定义数组索引: nid[/www/wwwroot/tiaoshi.com/application/common.php:1785]
[ error ] [8]未定义数组索引: type[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:110]
[ error ] [8]未定义数组索引: ids[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:111]
[ error ] [8]未定义数组索引: rel[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:112]
[ error ] [8]未定义数组索引: paging[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:113]
[ error ] [8]未定义数组索引: pageurl[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:114]
[ error ] [8]未定义数组索引: level[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:115]
[ error ] [8]未定义数组索引: area[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:116]
[ error ] [8]未定义数组索引: lang[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:117]
[ error ] [8]未定义数组索引: state[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:118]
[ error ] [8]未定义数组索引: wd[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:119]
[ error ] [8]未定义数组索引: tag[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:120]
[ error ] [8]未定义数组索引: class[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:121]
[ error ] [8]未定义数组索引: letter[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:122]
[ error ] [8]未定义数组索引: actor[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:123]
[ error ] [8]未定义数组索引: director[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:124]
[ error ] [8]未定义数组索引: version[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:125]
[ error ] [8]未定义数组索引: year[/www/wwwroot/tiaoshi.com/application/common/model/Vod.php:126]
